Declaration date,,Declaration date,,
1/8/08,,39455.00 ,,
6/24/10,,40353.00 ,,
5/30/08,,39598.00 ,,
1/5/11,,40548.00 ,,
1/5/11,,40548.00 ,,
6/5/07,,39238.00 ,,
5/30/08,,39598.00 ,,
5/11/10,,40309.00 ,,
1/25/06,,38742.00 ,,
12/16/08,,39798.00 ,,
5/23/11,,40686.00 ,,
4/13/07,,39185.00 ,,
10/25/06,,39015.00 ,,
4/18/08,,39556.00 ,,
9/28/10,,40449.00 ,,
11/8/10,,40490.00 ,,
12/27/06,,39078.00 ,,
12/11/06,,39062.00 ,,
1/12/10,,40190.00 ,,
12/9/09,,40156.00 ,,
10/20/10,,40471.00 ,,
1/12/07,,39094.00 ,,
4/29/09,,39932.00 ,,
10/20/10,,40471.00 ,,
3/14/07,,39155.00 ,,
2/5/07,,39118.00 ,,
6/22/10,,40351.00 ,,
8/30/10,,40420.00 ,,
1/8/08,,39455.00 ,,
1/8/08,,39455.00 ,,
1/23/08,,39470.00 ,,
2/27/08,,39505.00 ,,
12/4/09,,40151.00 ,,
12/9/09,,40156.00 ,,
4/26/10,,40294.00 ,,
5/5/10,,40303.00 ,,
10/20/10,,40471.00 ,,
4/29/09,,39932.00 ,,
6/5/07,,39238.00 ,,
6/5/07,,39238.00 ,,
1/26/10,,40204.00 ,,
10/25/06,,39015.00 ,,
10/17/08,,39738.00 ,,
9/19/10,,40440.00 ,,
2/21/11,,40595.00 ,,
12/30/09,,40177.00 ,,
6/19/09,,39983.00 ,,
12/8/10,,40520.00 ,,
12/1/10,,40513.00 ,,
10/10/06,,39000.00 ,,
12/9/09,,40156.00 ,,
12/9/09,,40156.00 ,,
5/19/09,,39952.00 ,,
5/11/10,,40309.00 ,,
5/27/11,,40690.00 ,,
6/20/11,,40714.00 ,,
12/16/08,,39798.00 ,,
3/16/09,,39888.00 ,,
1/11/10,,40189.00 ,,
4/27/11,,40660.00 ,,
9/22/09,,40078.00 ,,
9/15/09,,40071.00 ,,
7/16/10,,40375.00 ,,
5/30/11,,40693.00 ,,
6/14/11,,40708.00 ,,
10/24/06,,39014.00 ,,
12/4/09,,40151.00 ,,
4/8/10,,40276.00 ,,
7/8/10,,40367.00 ,,
7/26/10,,40385.00 ,,
3/30/11,,40632.00 ,,
4/27/11,,40660.00 ,,
4/27/11,,40660.00 ,,
4/29/09,,39932.00 ,,
3/30/10,,40267.00 ,,
2/4/10,,40213.00 ,,
7/6/10,,40365.00 ,,
8/16/07,,39310.00 ,,
10/7/08,,39728.00 ,,
11/23/09,,40140.00 ,,
10/20/08,,39741.00 ,,
9/16/08,,39707.00 ,,
1/5/11,,40548.00 ,,
8/16/07,,39310.00 ,,
7/28/08,,39657.00 ,,
9/10/09,,40066.00 ,,
3/16/09,,39888.00 ,,
12/16/08,,39798.00 ,,
4/29/10,,40297.00 ,,
11/13/08,,39765.00 ,,
5/25/11,,40688.00 ,,
11/8/10,,40490.00 ,,
6/30/08,,39629.00 ,,
8/10/10,,40400.00 ,,
1/24/07,,39106.00 ,,
7/27/09,,40021.00 ,,
1/26/10,,40204.00 ,,
7/26/10,,40385.00 ,,
10/19/07,,39374.00 ,,
7/25/07,,39288.00 ,,
10/20/08,,39741.00 ,,
7/9/09,,40003.00 ,,
6/29/10,,40358.00 ,,
8/10/10,,40400.00 ,,
9/22/09,,40078.00 ,,
1/26/10,,40204.00 ,,
6/3/10,,40332.00 ,,
9/16/08,,39707.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
8/26/09,,40051.00 ,,
8/26/09,,40051.00 ,,
9/22/09,,40078.00 ,,
12/22/09,,40169.00 ,,
7/14/10,,40373.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
12/15/10,,40527.00 ,,
7/13/10,,40372.00 ,,
1/20/11,,40563.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
8/22/07,,39316.00 ,,
1/5/11,,40548.00 ,,
10/22/10,,40473.00 ,,
11/13/08,,39765.00 ,,
1/20/11,,40563.00 ,,
3/30/10,,40267.00 ,,
1/8/08,,39455.00 ,,
4/29/10,,40297.00 ,,
12/31/08,,39813.00 ,,
1/30/11,,40573.00 ,,
12/4/09,,40151.00 ,,
12/9/09,,40156.00 ,,
1/25/10,,40203.00 ,,
2/28/11,,40602.00 ,,
8/21/07,,39315.00 ,,
12/16/08,,39798.00 ,,
6/30/08,,39629.00 ,,
1/7/09,,39820.00 ,,
12/29/09,,40176.00 ,,
3/30/10,,40267.00 ,,
12/31/08,,39813.00 ,,
2/16/11,,40590.00 ,,
11/30/09,,40147.00 ,,
10/20/08,,39741.00 ,,
6/9/11,,40703.00 ,,
5/12/10,,40310.00 ,,
8/5/10,,40395.00 ,,
6/9/11,,40703.00 ,,
10/19/06,,39009.00 ,,
2/2/09,,39846.00 ,,
2/11/10,,40220.00 ,,
3/30/10,,40267.00 ,,
2/4/10,,40213.00 ,,
7/13/10,,40372.00 ,,
12/31/08,,39813.00 ,,
4/19/10,,40287.00 ,,
1/25/06,,38742.00 ,,
8/29/06,,38958.00 ,,
6/17/09,,39981.00 ,,
4/29/09,,39932.00 ,,
12/16/08,,39798.00 ,,
6/17/09,,39981.00 ,,
10/24/08,,39745.00 ,,
12/21/10,,40533.00 ,,
11/18/09,,40135.00 ,,
1/25/10,,40203.00 ,,
