time,amount,internalization,outsourcing,if the sitting date time after 2006,year,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Turnover,money,installment,paystyle,payment method
274d,2,0,1,1,2007,0,0,0,1,2,1,0,0,2,1,0,0,1,1,1,0,0,2,512756.84,512756.84,0,2,One time payment
1126d,7,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,690000,690000,1,1,Installment payment
1096d,1,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,1200000,1200000,1,1,Installment payment
364d,3,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,1241600,1241600,1,1,Installment payment
1095d,1,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,3480000,3480000,1,1,Installment payment
152d,6,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
113d,6,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
1095d,4,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
28d,4,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
90d,4,0,1,1,2008,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
365d,3,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
211d,3,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,0,0,1,3,commission payment
